Центральность по посредничеству: 
(308412461, 0.14179496226273547)
(232210943, 0.2698494553841415)
(209834587, 0.12369938351009387)
(45745684, 0.18441340084014973)
(513083713, 0.1421842645140442)
(606396724, 0.13434040611158202)
(275549140, 0.1624149633232953)
(412981588, 0.12548030614581174)
Центральность по близости: 
(308412461, 0.10052731964546169)
(232210943, 0.14597588791137178)
(209834587, 0.11009625230391153)
(45745684, 0.1275626423690205)
(513083713, 0.13737415035518985)
(606396724, 0.1296671490593343)
(275549140, 0.1344874168209336)
(412981588, 0.08681890119828171)
Центральность по собственному значению: 
(308412461, 2.7418971176551658e-05)
(232210943, 0.12136896265098784)
(209834587, 7.347635694412415e-05)
(45745684, 0.0004019117405529645)
(513083713, 0.0003520140827591476)
(606396724, 0.0005016113594431047)
(275549140, 0.004064864901586326)
(412981588, 1.6138537688324633e-06)
